"Date","Shift","Name","Amount","day_of_week","tip_month","avg_tip_per_employee","avg_tip_per_shift","avg_tip_per_day","avg_tip_per_day_and_shift","avg_tip_per_month","avg_tip_per_month_and_shift","total_earned_per_employee","total_earned_per_emp_day","total_earned_day","total_earned_day_and_shift","total_earned_month","total_earned_month_and_shift"
"2022-01-06","dinner","employee E",64.7,"Thursday ","January  ",55.61,60.79,62.68,56.61,67.87,58.92,1390.25,187.55,12098.13,7925.14,8144.82,4359.87
"2022-01-06","dinner","employee J",64.7,"Thursday ","January  ",70.5,60.79,62.68,56.61,67.87,58.92,22279.25,2897.08,12098.13,7925.14,8144.82,4359.87
"2022-01-07","lunch","employee Q",91.66,"Friday   ","January  ",71.86,80.65,73.25,75.79,67.87,82.28,7258.13,1097.03,15821.95,5305.62,8144.82,3784.95
"2022-01-07","dinner","employee B",100.47,"Friday   ","January  ",72.22,60.79,73.25,72.03,67.87,58.92,11555.03,2479.75,15821.95,10516.33,8144.82,4359.87
"2022-01-07","dinner","employee C",100.47,"Friday   ","January  ",57.78,60.79,73.25,72.03,67.87,58.92,3293.66,290.52,15821.95,10516.33,8144.82,4359.87
"2022-01-07","dinner","employee J",100.47,"Friday   ","January  ",70.5,60.79,73.25,72.03,67.87,58.92,22279.25,3485.69,15821.95,10516.33,8144.82,4359.87
"2022-01-08","lunch","employee B",101.2,"Saturday ","January  ",72.22,80.65,70.9,81.94,67.87,82.28,11555.03,3892.1,20701.41,11717.21,8144.82,3784.95
"2022-01-08","lunch","employee Q",141.65,"Saturday ","January  ",71.86,80.65,70.9,81.94,67.87,82.28,7258.13,1284.48,20701.41,11717.21,8144.82,3784.95
"2022-01-08","dinner","employee B",80.09,"Saturday ","January  ",72.22,60.79,70.9,60.3,67.87,58.92,11555.03,3892.1,20701.41,8984.2,8144.82,4359.87
"2022-01-08","dinner","employee E",80.09,"Saturday ","January  ",55.61,60.79,70.9,60.3,67.87,58.92,1390.25,552.13,20701.41,8984.2,8144.82,4359.87
"2022-01-08","dinner","employee Q",80.09,"Saturday ","January  ",71.86,60.79,70.9,60.3,67.87,58.92,7258.13,1284.48,20701.41,8984.2,8144.82,4359.87
"2022-01-09","lunch","employee B",78.64,"Sunday   ","January  ",72.22,80.65,66.34,77.59,67.87,82.28,11555.03,3809.51,19836.01,12104.44,8144.82,3784.95
"2022-01-09","lunch","employee E",78.64,"Sunday   ","January  ",55.61,80.65,66.34,77.59,67.87,82.28,1390.25,398.71,19836.01,12104.44,8144.82,3784.95
"2022-01-09","lunch","employee J",122.32,"Sunday   ","January  ",70.5,80.65,66.34,77.59,67.87,82.28,22279.25,3662.83,19836.01,12104.44,8144.82,3784.95
"2022-01-09","dinner","employee B",22.79,"Sunday   ","January  ",72.22,60.79,66.34,54.07,67.87,58.92,11555.03,3809.51,19836.01,7731.57,8144.82,4359.87
"2022-01-09","dinner","employee E",68.38,"Sunday   ","January  ",55.61,60.79,66.34,54.07,67.87,58.92,1390.25,398.71,19836.01,7731.57,8144.82,4359.87
"2022-01-09","dinner","employee Q",68.38,"Sunday   ","January  ",71.86,60.79,66.34,54.07,67.87,58.92,7258.13,815.32,19836.01,7731.57,8144.82,4359.87
"2022-01-10","lunch","employee F",44.9,"Monday   ","January  ",70.91,80.65,75.87,96.27,67.87,82.28,425.44,135.26,14718.5,5679.73,8144.82,3784.95
"2022-01-10","dinner","employee E",70.15,"Monday   ","January  ",55.61,60.79,75.87,66.95,67.87,58.92,1390.25,144.22,14718.5,9038.77,8144.82,4359.87
"2022-01-10","dinner","employee J",70.15,"Monday   ","January  ",70.5,60.79,75.87,66.95,67.87,58.92,22279.25,2212.17,14718.5,9038.77,8144.82,4359.87
"2022-01-11","lunch","employee J",82.55,"Tuesday  ","January  ",70.5,80.65,64.66,84.52,67.87,82.28,22279.25,2918.12,11768.14,4310.56,8144.82,3784.95
"2022-01-11","dinner","employee C",14.51,"Tuesday  ","January  ",57.78,60.79,64.66,56.93,67.87,58.92,3293.66,549.91,11768.14,7457.58,8144.82,4359.87
"2022-01-11","dinner","employee Q",21.77,"Tuesday  ","January  ",71.86,60.79,64.66,56.93,67.87,58.92,7258.13,494.24,11768.14,7457.58,8144.82,4359.87
"2022-01-12","lunch","employee Q",76.0,"Wednesday","January  ",71.86,80.65,62.84,73.77,67.87,82.28,7258.13,1298.83,11687.92,4131.12,8144.82,3784.95
"2022-01-12","dinner","employee C",81.87,"Wednesday","January  ",57.78,60.79,62.84,58.13,67.87,58.92,3293.66,728.7,11687.92,7556.8,8144.82,4359.87
"2022-01-12","dinner","employee J",81.87,"Wednesday","January  ",70.5,60.79,62.84,58.13,67.87,58.92,22279.25,3845.05,11687.92,7556.8,8144.82,4359.87
"2022-01-13","lunch","employee J",88.32,"Thursday ","January  ",70.5,80.65,62.68,78.74,67.87,82.28,22279.25,2897.08,12098.13,4172.99,8144.82,3784.95
"2022-01-13","dinner","employee B",34.53,"Thursday ","January  ",72.22,60.79,62.68,56.61,67.87,58.92,11555.03,1063.14,12098.13,7925.14,8144.82,4359.87
"2022-01-13","dinner","employee E",19.73,"Thursday ","January  ",55.61,60.79,62.68,56.61,67.87,58.92,1390.25,187.55,12098.13,7925.14,8144.82,4359.87
"2022-01-13","dinner","employee J",44.4,"Thursday ","January  ",70.5,60.79,62.68,56.61,67.87,58.92,22279.25,2897.08,12098.13,7925.14,8144.82,4359.87
"2022-01-14","lunch","employee Q",106.33,"Friday   ","January  ",71.86,80.65,73.25,75.79,67.87,82.28,7258.13,1097.03,15821.95,5305.62,8144.82,3784.95
"2022-01-14","dinner","employee B",70.01,"Friday   ","January  ",72.22,60.79,73.25,72.03,67.87,58.92,11555.03,2479.75,15821.95,10516.33,8144.82,4359.87
"2022-01-14","dinner","employee F",70.01,"Friday   ","January  ",70.91,60.79,73.25,72.03,67.87,58.92,425.44,70.01,15821.95,10516.33,8144.82,4359.87
"2022-01-14","dinner","employee Q",70.01,"Friday   ","January  ",71.86,60.79,73.25,72.03,67.87,58.92,7258.13,1097.03,15821.95,10516.33,8144.82,4359.87
"2022-01-15","lunch","employee B",112.11,"Saturday ","January  ",72.22,80.65,70.9,81.94,67.87,82.28,11555.03,3892.1,20701.41,11717.21,8144.82,3784.95
"2022-01-15","lunch","employee Q",156.96,"Saturday ","January  ",71.86,80.65,70.9,81.94,67.87,82.28,7258.13,1284.48,20701.41,11717.21,8144.82,3784.95
"2022-01-15","dinner","employee B",16.6,"Saturday ","January  ",72.22,60.79,70.9,60.3,67.87,58.92,11555.03,3892.1,20701.41,8984.2,8144.82,4359.87
"2022-01-15","dinner","employee C",24.9,"Saturday ","January  ",57.78,60.79,70.9,60.3,67.87,58.92,3293.66,504.59,20701.41,8984.2,8144.82,4359.87
"2022-01-15","dinner","employee F",45.65,"Saturday ","January  ",70.91,60.79,70.9,60.3,67.87,58.92,425.44,45.65,20701.41,8984.2,8144.82,4359.87
"2022-01-15","dinner","employee Q",16.6,"Saturday ","January  ",71.86,60.79,70.9,60.3,67.87,58.92,7258.13,1284.48,20701.41,8984.2,8144.82,4359.87
"2022-01-16","lunch","employee B",63.8,"Sunday   ","January  ",72.22,80.65,66.34,77.59,67.87,82.28,11555.03,3809.51,19836.01,12104.44,8144.82,3784.95
"2022-01-16","lunch","employee F",63.8,"Sunday   ","January  ",70.91,80.65,66.34,77.59,67.87,82.28,425.44,174.52,19836.01,12104.44,8144.82,3784.95
"2022-01-16","lunch","employee J",76.56,"Sunday   ","January  ",70.5,80.65,66.34,77.59,67.87,82.28,22279.25,3662.83,19836.01,12104.44,8144.82,3784.95
"2022-01-16","dinner","employee B",110.72,"Sunday   ","January  ",72.22,60.79,66.34,54.07,67.87,58.92,11555.03,3809.51,19836.01,7731.57,8144.82,4359.87
"2022-01-16","dinner","employee F",110.72,"Sunday   ","January  ",70.91,60.79,66.34,54.07,67.87,58.92,425.44,174.52,19836.01,7731.57,8144.82,4359.87
"2022-01-17","lunch","employee C",129.08,"Monday   ","January  ",57.78,80.65,75.87,96.27,67.87,82.28,3293.66,385.83,14718.5,5679.73,8144.82,3784.95
"2022-01-17","lunch","employee F",90.36,"Monday   ","January  ",70.91,80.65,75.87,96.27,67.87,82.28,425.44,135.26,14718.5,5679.73,8144.82,3784.95
"2022-01-17","dinner","employee C",86.53,"Monday   ","January  ",57.78,60.79,75.87,66.95,67.87,58.92,3293.66,385.83,14718.5,9038.77,8144.82,4359.87
"2022-01-17","dinner","employee J",86.53,"Monday   ","January  ",70.5,60.79,75.87,66.95,67.87,58.92,22279.25,2212.17,14718.5,9038.77,8144.82,4359.87
"2022-01-18","lunch","employee Q",52.83,"Tuesday  ","January  ",71.86,80.65,64.66,84.52,67.87,82.28,7258.13,494.24,11768.14,4310.56,8144.82,3784.95
"2022-01-18","dinner","employee C",9.97,"Tuesday  ","January  ",57.78,60.79,64.66,56.93,67.87,58.92,3293.66,549.91,11768.14,7457.58,8144.82,4359.87
"2022-01-18","dinner","employee Q",29.92,"Tuesday  ","January  ",71.86,60.79,64.66,56.93,67.87,58.92,7258.13,494.24,11768.14,7457.58,8144.82,4359.87
"2022-01-19","lunch","employee J",86.96,"Wednesday","January  ",70.5,80.65,62.84,73.77,67.87,82.28,22279.25,3845.05,11687.92,4131.12,8144.82,3784.95
"2022-01-19","dinner","employee E",61.27,"Wednesday","January  ",55.61,60.79,62.84,58.13,67.87,58.92,1390.25,61.27,11687.92,7556.8,8144.82,4359.87
"2022-01-19","dinner","employee J",91.9,"Wednesday","January  ",70.5,60.79,62.84,58.13,67.87,58.92,22279.25,3845.05,11687.92,7556.8,8144.82,4359.87
"2022-01-20","lunch","employee Q",64.54,"Thursday ","January  ",71.86,80.65,62.68,78.74,67.87,82.28,7258.13,519.44,12098.13,4172.99,8144.82,3784.95
"2022-01-20","dinner","employee E",41.13,"Thursday ","January  ",55.61,60.79,62.68,56.61,67.87,58.92,1390.25,187.55,12098.13,7925.14,8144.82,4359.87
"2022-01-20","dinner","employee Q",74.04,"Thursday ","January  ",71.86,60.79,62.68,56.61,67.87,58.92,7258.13,519.44,12098.13,7925.14,8144.82,4359.87
"2022-01-21","lunch","employee Q",45.19,"Friday   ","January  ",71.86,80.65,73.25,75.79,67.87,82.28,7258.13,1097.03,15821.95,5305.62,8144.82,3784.95
"2022-01-21","dinner","employee B",75.32,"Friday   ","January  ",72.22,60.79,73.25,72.03,67.87,58.92,11555.03,2479.75,15821.95,10516.33,8144.82,4359.87
"2022-01-21","dinner","employee Q",84.74,"Friday   ","January  ",71.86,60.79,73.25,72.03,67.87,58.92,7258.13,1097.03,15821.95,10516.33,8144.82,4359.87
"2022-01-22","lunch","employee B",50.45,"Saturday ","January  ",72.22,80.65,70.9,81.94,67.87,82.28,11555.03,3892.1,20701.41,11717.21,8144.82,3784.95
"2022-01-22","lunch","employee K",50.45,"Saturday ","January  ",63.59,80.65,70.9,81.94,67.87,82.28,1653.42,635.97,20701.41,11717.21,8144.82,3784.95
"2022-01-22","lunch","employee Q",65.56,"Saturday ","January  ",71.86,80.65,70.9,81.94,67.87,82.28,7258.13,1284.48,20701.41,11717.21,8144.82,3784.95
"2022-01-22","dinner","employee B",118.85,"Saturday ","January  ",72.22,60.79,70.9,60.3,67.87,58.92,11555.03,3892.1,20701.41,8984.2,8144.82,4359.87
"2022-01-22","dinner","employee E",118.85,"Saturday ","January  ",55.61,60.79,70.9,60.3,67.87,58.92,1390.25,552.13,20701.41,8984.2,8144.82,4359.87
"2022-01-22","dinner","employee J",79.23,"Saturday ","January  ",70.5,60.79,70.9,60.3,67.87,58.92,22279.25,3258.31,20701.41,8984.2,8144.82,4359.87
"2022-01-23","lunch","employee D",114.46,"Sunday   ","January  ",68.81,80.65,66.34,77.59,67.87,82.28,275.22,173.5,19836.01,12104.44,8144.82,3784.95
"2022-01-23","lunch","employee J",114.46,"Sunday   ","January  ",70.5,80.65,66.34,77.59,67.87,82.28,22279.25,3662.83,19836.01,12104.44,8144.82,3784.95
"2022-01-24","lunch","employee Q",89.89,"Monday   ","January  ",71.86,80.65,75.87,96.27,67.87,82.28,7258.13,1748.79,14718.5,5679.73,8144.82,3784.95
"2022-01-24","dinner","employee D",56.81,"Monday   ","January  ",68.81,60.79,75.87,66.95,67.87,58.92,275.22,56.81,14718.5,9038.77,8144.82,4359.87
"2022-01-24","dinner","employee E",21.31,"Monday   ","January  ",55.61,60.79,75.87,66.95,67.87,58.92,1390.25,144.22,14718.5,9038.77,8144.82,4359.87
"2022-01-24","dinner","employee Q",63.91,"Monday   ","January  ",71.86,60.79,75.87,66.95,67.87,58.92,7258.13,1748.79,14718.5,9038.77,8144.82,4359.87
"2022-01-25","lunch","employee J",39.57,"Tuesday  ","January  ",70.5,80.65,64.66,84.52,67.87,82.28,22279.25,2918.12,11768.14,4310.56,8144.82,3784.95
"2022-01-25","dinner","employee C",34.74,"Tuesday  ","January  ",57.78,60.79,64.66,56.93,67.87,58.92,3293.66,549.91,11768.14,7457.58,8144.82,4359.87
"2022-01-25","dinner","employee Q",56.85,"Tuesday  ","January  ",71.86,60.79,64.66,56.93,67.87,58.92,7258.13,494.24,11768.14,7457.58,8144.82,4359.87
"2022-01-26","lunch","employee J",56.71,"Wednesday","January  ",70.5,80.65,62.84,73.77,67.87,82.28,22279.25,3845.05,11687.92,4131.12,8144.82,3784.95
"2022-01-26","dinner","employee C",58.44,"Wednesday","January  ",57.78,60.79,62.84,58.13,67.87,58.92,3293.66,728.7,11687.92,7556.8,8144.82,4359.87
"2022-01-26","dinner","employee J",75.14,"Wednesday","January  ",70.5,60.79,62.84,58.13,67.87,58.92,22279.25,3845.05,11687.92,7556.8,8144.82,4359.87
"2022-01-27","lunch","employee J",103.68,"Thursday ","January  ",70.5,80.65,62.68,78.74,67.87,82.28,22279.25,2897.08,12098.13,4172.99,8144.82,3784.95
"2022-01-27","dinner","employee D",44.91,"Thursday ","January  ",68.81,60.79,62.68,56.61,67.87,58.92,275.22,44.91,12098.13,7925.14,8144.82,4359.87
"2022-01-27","dinner","employee E",35.28,"Thursday ","January  ",55.61,60.79,62.68,56.61,67.87,58.92,1390.25,187.55,12098.13,7925.14,8144.82,4359.87
"2022-01-27","dinner","employee Q",57.74,"Thursday ","January  ",71.86,60.79,62.68,56.61,67.87,58.92,7258.13,519.44,12098.13,7925.14,8144.82,4359.87
"2022-01-28","lunch","employee Q",66.25,"Friday   ","January  ",71.86,80.65,73.25,75.79,67.87,82.28,7258.13,1097.03,15821.95,5305.62,8144.82,3784.95
"2022-01-28","dinner","employee B",59.63,"Friday   ","January  ",72.22,60.79,73.25,72.03,67.87,58.92,11555.03,2479.75,15821.95,10516.33,8144.82,4359.87
"2022-01-28","dinner","employee E",46.37,"Friday   ","January  ",55.61,60.79,73.25,72.03,67.87,58.92,1390.25,46.37,15821.95,10516.33,8144.82,4359.87
"2022-01-28","dinner","employee J",59.63,"Friday   ","January  ",70.5,60.79,73.25,72.03,67.87,58.92,22279.25,3485.69,15821.95,10516.33,8144.82,4359.87
"2022-01-29","lunch","employee B",102.95,"Saturday ","January  ",72.22,80.65,70.9,81.94,67.87,82.28,11555.03,3892.1,20701.41,11717.21,8144.82,3784.95
"2022-01-29","lunch","employee Q",133.81,"Saturday ","January  ",71.86,80.65,70.9,81.94,67.87,82.28,7258.13,1284.48,20701.41,11717.21,8144.82,3784.95
"2022-01-29","dinner","employee B",50.87,"Saturday ","January  ",72.22,60.79,70.9,60.3,67.87,58.92,11555.03,3892.1,20701.41,8984.2,8144.82,4359.87
"2022-01-29","dinner","employee J",58.14,"Saturday ","January  ",70.5,60.79,70.9,60.3,67.87,58.92,22279.25,3258.31,20701.41,8984.2,8144.82,4359.87
"2022-01-29","dinner","employee K",65.4,"Saturday ","January  ",63.59,60.79,70.9,60.3,67.87,58.92,1653.42,635.97,20701.41,8984.2,8144.82,4359.87
"2022-01-30","lunch","employee B",22.61,"Sunday   ","January  ",72.22,80.65,66.34,77.59,67.87,82.28,11555.03,3809.51,19836.01,12104.44,8144.82,3784.95
"2022-01-30","lunch","employee J",33.92,"Sunday   ","January  ",70.5,80.65,66.34,77.59,67.87,82.28,22279.25,3662.83,19836.01,12104.44,8144.82,3784.95
"2022-01-30","lunch","employee K",62.19,"Sunday   ","January  ",63.59,80.65,66.34,77.59,67.87,82.28,1653.42,309.11,19836.01,12104.44,8144.82,3784.95
"2022-01-30","lunch","employee Q",33.92,"Sunday   ","January  ",71.86,80.65,66.34,77.59,67.87,82.28,7258.13,815.32,19836.01,12104.44,8144.82,3784.95
"2022-01-30","dinner","employee B",59.04,"Sunday   ","January  ",72.22,60.79,66.34,54.07,67.87,58.92,11555.03,3809.51,19836.01,7731.57,8144.82,4359.87
"2022-01-30","dinner","employee D",59.04,"Sunday   ","January  ",68.81,60.79,66.34,54.07,67.87,58.92,275.22,173.5,19836.01,7731.57,8144.82,4359.87
"2022-01-30","dinner","employee E",13.12,"Sunday   ","January  ",55.61,60.79,66.34,54.07,67.87,58.92,1390.25,398.71,19836.01,7731.57,8144.82,4359.87
"2022-01-30","dinner","employee J",13.12,"Sunday   ","January  ",70.5,60.79,66.34,54.07,67.87,58.92,22279.25,3662.83,19836.01,7731.57,8144.82,4359.87
"2022-01-31","lunch","employee J",76.58,"Monday   ","January  ",70.5,80.65,75.87,96.27,67.87,82.28,22279.25,2212.17,14718.5,5679.73,8144.82,3784.95
"2022-01-31","dinner","employee I",19.07,"Monday   ","January  ",56.58,60.79,75.87,66.95,67.87,58.92,6053.62,1283.33,14718.5,9038.77,8144.82,4359.87
"2022-01-31","dinner","employee J",24.52,"Monday   ","January  ",70.5,60.79,75.87,66.95,67.87,58.92,22279.25,2212.17,14718.5,9038.77,8144.82,4359.87
"2022-01-31","dinner","employee K",19.07,"Monday   ","January  ",63.59,60.79,75.87,66.95,67.87,58.92,1653.42,190.23,14718.5,9038.77,8144.82,4359.87
"2022-02-01","lunch","employee J",110.14,"Tuesday  ","February ",70.5,80.65,64.66,84.52,60.03,71.5,22279.25,2918.12,11768.14,4310.56,8163.89,3718.13
"2022-02-01","dinner","employee C",26.2,"Tuesday  ","February ",57.78,60.79,64.66,56.93,60.03,52.93,3293.66,549.91,11768.14,7457.58,8163.89,4445.76
"2022-02-01","dinner","employee I",17.46,"Tuesday  ","February ",56.58,60.79,64.66,56.93,60.03,52.93,6053.62,1015.01,11768.14,7457.58,8163.89,4445.76
"2022-02-01","dinner","employee Q",31.44,"Tuesday  ","February ",71.86,60.79,64.66,56.93,60.03,52.93,7258.13,494.24,11768.14,7457.58,8163.89,4445.76
"2022-02-02","lunch","employee Q",75.68,"Wednesday","February ",71.86,80.65,62.84,73.77,60.03,71.5,7258.13,1298.83,11687.92,4131.12,8163.89,3718.13
"2022-02-02","dinner","employee C",67.05,"Wednesday","February ",57.78,60.79,62.84,58.13,60.03,52.93,3293.66,728.7,11687.92,7556.8,8163.89,4445.76
"2022-02-02","dinner","employee I",72.2,"Wednesday","February ",56.58,60.79,62.84,58.13,60.03,52.93,6053.62,928.89,11687.92,7556.8,8163.89,4445.76
"2022-02-02","dinner","employee Q",92.83,"Wednesday","February ",71.86,60.79,62.84,58.13,60.03,52.93,7258.13,1298.83,11687.92,7556.8,8163.89,4445.76
"2022-02-03","lunch","employee J",87.0,"Thursday ","February ",70.5,80.65,62.68,78.74,60.03,71.5,22279.25,2897.08,12098.13,4172.99,8163.89,3718.13
"2022-02-03","dinner","employee E",26.71,"Thursday ","February ",55.61,60.79,62.68,56.61,60.03,52.93,1390.25,187.55,12098.13,7925.14,8163.89,4445.76
"2022-02-03","dinner","employee J",48.08,"Thursday ","February ",70.5,60.79,62.68,56.61,60.03,52.93,22279.25,2897.08,12098.13,7925.14,8163.89,4445.76
"2022-02-03","dinner","employee K",42.74,"Thursday ","February ",63.59,60.79,62.68,56.61,60.03,52.93,1653.42,82.75,12098.13,7925.14,8163.89,4445.76
"2022-02-04","lunch","employee K",69.51,"Friday   ","February ",63.59,80.65,73.25,75.79,60.03,71.5,1653.42,435.36,15821.95,5305.62,8163.89,3718.13
"2022-02-04","lunch","employee Q",69.51,"Friday   ","February ",71.86,80.65,73.25,75.79,60.03,71.5,7258.13,1097.03,15821.95,5305.62,8163.89,3718.13
"2022-02-04","dinner","employee B",67.09,"Friday   ","February ",72.22,60.79,73.25,72.03,60.03,52.93,11555.03,2479.75,15821.95,10516.33,8163.89,4445.76
"2022-02-04","dinner","employee K",67.09,"Friday   ","February ",63.59,60.79,73.25,72.03,60.03,52.93,1653.42,435.36,15821.95,10516.33,8163.89,4445.76
"2022-02-04","dinner","employee Q",75.49,"Friday   ","February ",71.86,60.79,73.25,72.03,60.03,52.93,7258.13,1097.03,15821.95,10516.33,8163.89,4445.76
"2022-02-05","lunch","employee B",63.02,"Saturday ","February ",72.22,80.65,70.9,81.94,60.03,71.5,11555.03,3892.1,20701.41,11717.21,8163.89,3718.13
"2022-02-05","lunch","employee E",48.48,"Saturday ","February ",55.61,80.65,70.9,81.94,60.03,71.5,1390.25,552.13,20701.41,11717.21,8163.89,3718.13
"2022-02-05","lunch","employee Q",48.48,"Saturday ","February ",71.86,80.65,70.9,81.94,60.03,71.5,7258.13,1284.48,20701.41,11717.21,8163.89,3718.13
"2022-02-05","dinner","employee E",34.39,"Saturday ","February ",55.61,60.79,70.9,60.3,60.03,52.93,1390.25,552.13,20701.41,8984.2,8163.89,4445.76
"2022-02-05","dinner","employee K",55.03,"Saturday ","February ",63.59,60.79,70.9,60.3,60.03,52.93,1653.42,635.97,20701.41,8984.2,8163.89,4445.76
"2022-02-05","dinner","employee Q",61.91,"Saturday ","February ",71.86,60.79,70.9,60.3,60.03,52.93,7258.13,1284.48,20701.41,8984.2,8163.89,4445.76
"2022-02-06","lunch","employee B",75.1,"Sunday   ","February ",72.22,80.65,66.34,77.59,60.03,71.5,11555.03,3809.51,19836.01,12104.44,8163.89,3718.13
"2022-02-06","lunch","employee E",75.1,"Sunday   ","February ",55.61,80.65,66.34,77.59,60.03,71.5,1390.25,398.71,19836.01,12104.44,8163.89,3718.13
"2022-02-06","lunch","employee K",60.08,"Sunday   ","February ",63.59,80.65,66.34,77.59,60.03,71.5,1653.42,309.11,19836.01,12104.44,8163.89,3718.13
"2022-02-06","lunch","employee Q",26.24,"Sunday   ","February ",71.86,80.65,66.34,77.59,60.03,71.5,7258.13,815.32,19836.01,12104.44,8163.89,3718.13
"2022-02-06","dinner","employee B",53.24,"Sunday   ","February ",72.22,60.79,66.34,54.07,60.03,52.93,11555.03,3809.51,19836.01,7731.57,8163.89,4445.76
"2022-02-06","dinner","employee E",53.24,"Sunday   ","February ",55.61,60.79,66.34,54.07,60.03,52.93,1390.25,398.71,19836.01,7731.57,8163.89,4445.76
"2022-02-06","dinner","employee I",41.43,"Sunday   ","February ",56.58,60.79,66.34,54.07,60.03,52.93,6053.62,595.59,19836.01,7731.57,8163.89,4445.76
"2022-02-07","lunch","employee J",116.36,"Monday   ","February ",70.5,80.65,75.87,96.27,60.03,71.5,22279.25,2212.17,14718.5,5679.73,8163.89,3718.13
"2022-02-07","dinner","employee I",20.01,"Monday   ","February ",56.58,60.79,75.87,66.95,60.03,52.93,6053.62,1283.33,14718.5,9038.77,8163.89,4445.76
"2022-02-07","dinner","employee J",45.02,"Monday   ","February ",70.5,60.79,75.87,66.95,60.03,52.93,22279.25,2212.17,14718.5,9038.77,8163.89,4445.76
"2022-02-07","dinner","employee K",35.01,"Monday   ","February ",63.59,60.79,75.87,66.95,60.03,52.93,1653.42,190.23,14718.5,9038.77,8163.89,4445.76
"2022-02-08","lunch","employee J",69.26,"Tuesday  ","February ",70.5,80.65,64.66,84.52,60.03,71.5,22279.25,2918.12,11768.14,4310.56,8163.89,3718.13
"2022-02-08","dinner","employee C",48.39,"Tuesday  ","February ",57.78,60.79,64.66,56.93,60.03,52.93,3293.66,549.91,11768.14,7457.58,8163.89,4445.76
"2022-02-08","dinner","employee I",41.48,"Tuesday  ","February ",56.58,60.79,64.66,56.93,60.03,52.93,6053.62,1015.01,11768.14,7457.58,8163.89,4445.76
"2022-02-08","dinner","employee J",62.22,"Tuesday  ","February ",70.5,60.79,64.66,56.93,60.03,52.93,22279.25,2918.12,11768.14,7457.58,8163.89,4445.76
"2022-02-09","lunch","employee Q",44.33,"Wednesday","February ",71.86,80.65,62.84,73.77,60.03,71.5,7258.13,1298.83,11687.92,4131.12,8163.89,3718.13
"2022-02-09","dinner","employee C",55.2,"Wednesday","February ",57.78,60.79,62.84,58.13,60.03,52.93,3293.66,728.7,11687.92,7556.8,8163.89,4445.76
"2022-02-09","dinner","employee I",41.41,"Wednesday","February ",56.58,60.79,62.84,58.13,60.03,52.93,6053.62,928.89,11687.92,7556.8,8163.89,4445.76
